,Year,CLPRB CA,NGMPB CA,PAPRB CA,REPRB CA,TEPRB CA,TETCB CA
0,1960,0,590504,1771042,270161,2631707,3449919
1,1961,0,634667,1737732,248178,2620632,3609108
2,1962,0,643771,1720222,329046,2693123,3724117
3,1963,0,737636,1745266,360333,2845524,3923736
4,1964,0,757678,1740052,331757,2833855,4219633
5,1965,0,753494,1835282,418518,3010487,4385719
6,1966,0,786837,2002711,375877,3167320,4645217
7,1967,0,777108,2083470,473192,3340273,4841003
8,1968,0,815688,2165847,397366,3395904,5115122
9,1969,0,773239,2119020,544918,3464304,5356783
10,1970,0,740638,2013508,521978,3310500,5499139
11,1971,0,701427,1898806,533790,3172161,5747656
12,1972,0,562637,1881865,472312,2951080,5872011
13,1973,0,507744,1840090,553162,2929685,6047069
14,1974,0,419744,1776070,645073,2882164,5816324
15,1975,0,365735,1779234,578578,2790403,6032845
16,1976,0,400688,1809853,422852,2686499,6186312
17,1977,0,354013,1956636,338073,2736117,6361466
18,1978,0,352532,1944168,576601,2957101,6472696
19,1979,0,282666,1979523,559806,2917314,6727621
20,1980,0,342529,2011465,591928,2999587,6540472
21,1981,0,415048,2119146,502232,3071793,6332205
22,1982,0,432864,2164421,698981,3337623,6076050
23,1983,0,463728,2170134,807128,3502204,6092316
24,1984,0,527247,2213402,693614,3587630,6533180
25,1985,852,546252,2285212,593488,3635369,6601489
26,1986,0,511561,2192742,666981,3648616,6501121
27,1987,552,469061,2114726,522673,3424311,6938475
28,1988,648,444625,2057434,512100,3342016,7143783
29,1989,492,404886,1920809,738917,3409250,7420327
30,1990,732,401448,1861034,669326,3278496,7443750
31,1991,684,414390,1853083,653513,3252353,7342269
32,1992,1236,402577,1771830,642293,3186979,7308211
33,1993,0,352853,1699922,820783,3205282,7146526
34,1994,0,340415,1659148,633599,2985941,7273603
35,1995,0,308580,1618067,846185,3090625,7297478
36,1996,0,320843,1637972,817736,3134670,7422343
37,1997,0,314186,1653998,760278,3048656,7538784
38,1998,0,350247,1645037,832978,3191189,7831111
39,1999,0,411088,1583499,760009,3103332,7852568
40,2000,0,391339,1572566,736594,3067344,7921270
41,2001,0,408873,1511845,608031,2875661,7955161
42,2002,0,394973,1495808,676209,2925697,8008105
43,2003,0,373822,1438939,719373,2903093,7892261
44,2004,0,356787,1392800,697397,2762618,8260248
45,2005,0,354384,1335334,741140,2808170,8166058
46,2006,0,351706,1293487,821968,2800649,8289269
47,2007,0,343379,1267404,631941,2618152,8260040
48,2008,0,331830,1244291,603931,2519558,8075576
49,2009,0,310439,1202120,646780,2491556,7774309
50,2010,0,320668,1162146,715550,2534927,7760676
51,2011,0,280255,1137798,837314,2639011,7768794
52,2012,0,278232,1143824,703607,2319603,7549440
53,2013,0,287883,1153782,741782,2370609,7638003
54,2014,0,271757,1187254,746468,2383135,7584837
55,2015,0,271086,1150741,734669,2350026,7672710
56,2016,0,234094,1064744,927056,2423649,7819232
57,2017,0,236845,996414,1115301,2535788,7881348
0,2018,[178041013781.60736],[243316.07600934058],[1086916.4120229036],[862814.9548417926],[2380814.946954958],[7770731.694007158]
1,2019,[700684743709.4922],[242025.61702048779],[1096104.5968910903],[848008.2591846585],[2339708.5966693787],[7732100.7538410425]
2,2020,[760544218598.0802],[231846.62675757706],[1082305.6788143963],[866928.2704213858],[2292572.01516724],[7696234.296792984]
3,2021,[1048851735241.3116],[236704.6221526265],[1074583.879371658],[855163.521132946],[2321092.470093443],[7665910.939920187]
4,2022,[1137085400406.0107],[225949.60488975048],[1088978.7253773212],[806008.8185055256],[2304996.629316303],[7705070.6047894955]
5,2023,[1418510866721.4517],[215997.84614846855],[1071167.9499251544],[829557.9572145939],[2314855.4645398958],[7708754.082399845]
6,2024,[1626401578335.2988],[207947.89341493696],[1072524.2546593845],[726644.6465519071],[2323984.716508637],[7714757.256716728]
7,2025,[1781733025846.8928],[199916.54316469282],[1052554.7876342237],[645921.9976655245],[2271944.8386556283],[7720130.461174488]
8,2026,[1903335506099.3489],[198369.18531160057],[1054237.1670467854],[734119.4224401712],[2302350.0594002893],[7704354.100609064]
9,2027,[1187040551473.0173],[189605.96839007735],[1055597.3991190046],[764128.8208408356],[2286677.7199629284],[7670336.305111885]
10,2028,[421332934551.53845],[192479.45190799236],[1047932.8101401776],[730720.4908266664],[2302376.3242390333],[7664864.451527834]
11,2029,[-254879058742.23404],[186927.91277718544],[1070235.4232043177],[695719.9663066864],[2311954.8411016753],[7639362.498590589]
12,2030,[-330532854782.81885],[185654.76280754805],[1067617.799621895],[746085.9999291301],[2312921.268344431],[7614937.032610416]
13,2031,[-233131515400.07196],[180913.71649739146],[1047201.8547618091],[708372.1911472678],[2341000.154642865],[7637474.319699645]
14,2032,[-73223951306.88232],[176418.13803565502],[1029879.1278731488],[727895.7229723334],[2287695.305467464],[7672677.923846483]
15,2033,[42835085920.663536],[175008.74318376184],[1043687.0601027459],[834057.0980225801],[2295211.5943288133],[7702755.523246765]
16,2034,[105545556836.44817],[174650.13514465094],[1038069.0127114728],[842489.433724165],[2341472.471202966],[7730107.579973578]
17,2035,[69919287350.40167],[174948.06086930633],[1047501.206257686],[709899.7799550891],[2300641.602191164],[7745928.649938345]
18,2036,[-12538866863.583332],[174215.30588936806],[1046497.7762025893],[770054.7655677795],[2336572.9833774874],[7719422.033530712]
19,2037,[-28798575844.6088],[176099.4475544393],[1041799.7629484758],[827386.1720709801],[2355270.3341528997],[7724111.039954662]
20,2038,[-5610354262.621319],[173923.0220080018],[1052128.032909885],[829848.0626408458],[2302873.6604716303],[7719402.130636811]
21,2039,[-43631239228.83527],[176105.83471035957],[1031884.5020284429],[897471.7770484685],[2340119.1425865786],[7710733.987671375]
22,2040,[-113956793252.28383],[177623.44722300768],[1038303.3182720467],[882994.2086591719],[2330624.991307048],[7711205.311274767]
